source_router,source_port,dest_router,dest_port
-1,0,32,8
-1,1,32,9
-1,2,32,10
-1,3,32,11
-1,4,33,8
-1,5,33,9
-1,6,33,10
-1,7,33,11
-1,8,34,8
-1,9,34,9
-1,10,34,10
-1,11,34,11
-1,12,35,8
-1,13,35,9
-1,14,35,10
-1,15,35,11
-1,16,36,8
-1,17,36,9
-1,18,36,10
-1,19,36,11
-1,20,37,8
-1,21,37,9
-1,22,37,10
-1,23,37,11
-1,24,38,8
-1,25,38,9
-1,26,38,10
-1,27,38,11
-1,28,39,8
-1,29,39,9
-1,30,39,10
-1,31,39,11
-1,32,40,8
-1,33,40,9
-1,34,40,10
-1,35,40,11
-1,36,41,8
-1,37,41,9
-1,38,41,10
-1,39,41,11
-1,40,42,8
-1,41,42,9
-1,42,42,10
-1,43,42,11
-1,44,43,8
-1,45,43,9
-1,46,43,10
-1,47,43,11
-1,48,44,8
-1,49,44,9
-1,50,44,10
-1,51,44,11
-1,52,45,8
-1,53,45,9
-1,54,45,10
-1,55,45,11
-1,56,46,8
-1,57,46,9
-1,58,46,10
-1,59,46,11
-1,60,47,8
-1,61,47,9
-1,62,47,10
-1,63,47,11
0,0,16,4
0,1,20,4
0,2,24,4
0,3,28,4
1,0,17,4
1,1,21,4
1,2,25,4
1,3,29,4
2,0,18,4
2,1,22,4
2,2,26,4
2,3,30,4
3,0,19,4
3,1,23,4
3,2,27,4
3,3,31,4
4,0,16,5
4,1,20,5
4,2,24,5
4,3,28,5
5,0,17,5
5,1,21,5
5,2,25,5
5,3,29,5
6,0,18,5
6,1,22,5
6,2,26,5
6,3,30,5
7,0,19,5
7,1,23,5
7,2,27,5
7,3,31,5
8,0,16,6
8,1,20,6
8,2,24,6
8,3,28,6
9,0,17,6
9,1,21,6
9,2,25,6
9,3,29,6
10,0,18,6
10,1,22,6
10,2,26,6
10,3,30,6
11,0,19,6
11,1,23,6
11,2,27,6
11,3,31,6
12,0,16,7
12,1,20,7
12,2,24,7
12,3,28,7
13,0,17,7
13,1,21,7
13,2,25,7
13,3,29,7
14,0,18,7
14,1,22,7
14,2,26,7
14,3,30,7
15,0,19,7
15,1,23,7
15,2,27,7
15,3,31,7
16,4,0,0
16,5,4,0
16,6,8,0
16,7,12,0
17,4,1,0
17,5,5,0
17,6,9,0
17,7,13,0
18,4,2,0
18,5,6,0
18,6,10,0
18,7,14,0
19,4,3,0
19,5,7,0
19,6,11,0
19,7,15,0
20,4,0,1
20,5,4,1
20,6,8,1
20,7,12,1
21,4,1,1
21,5,5,1
21,6,9,1
21,7,13,1
22,4,2,1
22,5,6,1
22,6,10,1
22,7,14,1
23,4,3,1
23,5,7,1
23,6,11,1
23,7,15,1
24,4,0,2
24,5,4,2
24,6,8,2
24,7,12,2
25,4,1,2
25,5,5,2
25,6,9,2
25,7,13,2
26,4,2,2
26,5,6,2
26,6,10,2
26,7,14,2
27,4,3,2
27,5,7,2
27,6,11,2
27,7,15,2
28,4,0,3
28,5,4,3
28,6,8,3
28,7,12,3
29,4,1,3
29,5,5,3
29,6,9,3
29,7,13,3
30,4,2,3
30,5,6,3
30,6,10,3
30,7,14,3
31,4,3,3
31,5,7,3
31,6,11,3
31,7,15,3
16,0,32,4
16,1,33,4
16,2,34,4
16,3,35,4
17,0,32,5
17,1,33,5
17,2,34,5
17,3,35,5
18,0,32,6
18,1,33,6
18,2,34,6
18,3,35,6
19,0,32,7
19,1,33,7
19,2,34,7
19,3,35,7
20,0,36,4
20,1,37,4
20,2,38,4
20,3,39,4
21,0,36,5
21,1,37,5
21,2,38,5
21,3,39,5
22,0,36,6
22,1,37,6
22,2,38,6
22,3,39,6
23,0,36,7
23,1,37,7
23,2,38,7
23,3,39,7
24,0,40,4
24,1,41,4
24,2,42,4
24,3,43,4
25,0,40,5
25,1,41,5
25,2,42,5
25,3,43,5
26,0,40,6
26,1,41,6
26,2,42,6
26,3,43,6
27,0,40,7
27,1,41,7
27,2,42,7
27,3,43,7
28,0,44,4
28,1,45,4
28,2,46,4
28,3,47,4
29,0,44,5
29,1,45,5
29,2,46,5
29,3,47,5
30,0,44,6
30,1,45,6
30,2,46,6
30,3,47,6
31,0,44,7
31,1,45,7
31,2,46,7
31,3,47,7
32,4,16,0
32,5,17,0
32,6,18,0
32,7,19,0
33,4,16,1
33,5,17,1
33,6,18,1
33,7,19,1
34,4,16,2
34,5,17,2
34,6,18,2
34,7,19,2
35,4,16,3
35,5,17,3
35,6,18,3
35,7,19,3
36,4,20,0
36,5,21,0
36,6,22,0
36,7,23,0
37,4,20,1
37,5,21,1
37,6,22,1
37,7,23,1
38,4,20,2
38,5,21,2
38,6,22,2
38,7,23,2
39,4,20,3
39,5,21,3
39,6,22,3
39,7,23,3
40,4,24,0
40,5,25,0
40,6,26,0
40,7,27,0
41,4,24,1
41,5,25,1
41,6,26,1
41,7,27,1
42,4,24,2
42,5,25,2
42,6,26,2
42,7,27,2
43,4,24,3
43,5,25,3
43,6,26,3
43,7,27,3
44,4,28,0
44,5,29,0
44,6,30,0
44,7,31,0
45,4,28,1
45,5,29,1
45,6,30,1
45,7,31,1
46,4,28,2
46,5,29,2
46,6,30,2
46,7,31,2
47,4,28,3
47,5,29,3
47,6,30,3
47,7,31,3
0,4,16,12
0,5,20,12
0,6,24,12
0,7,28,12
1,4,17,12
1,5,21,12
1,6,25,12
1,7,29,12
2,4,18,12
2,5,22,12
2,6,26,12
2,7,30,12
3,4,19,12
3,5,23,12
3,6,27,12
3,7,31,12
4,4,16,13
4,5,20,13
4,6,24,13
4,7,28,13
5,4,17,13
5,5,21,13
5,6,25,13
5,7,29,13
6,4,18,13
6,5,22,13
6,6,26,13
6,7,30,13
7,4,19,13
7,5,23,13
7,6,27,13
7,7,31,13
8,4,16,14
8,5,20,14
8,6,24,14
8,7,28,14
9,4,17,14
9,5,21,14
9,6,25,14
9,7,29,14
10,4,18,14
10,5,22,14
10,6,26,14
10,7,30,14
11,4,19,14
11,5,23,14
11,6,27,14
11,7,31,14
12,4,16,15
12,5,20,15
12,6,24,15
12,7,28,15
13,4,17,15
13,5,21,15
13,6,25,15
13,7,29,15
14,4,18,15
14,5,22,15
14,6,26,15
14,7,30,15
15,4,19,15
15,5,23,15
15,6,27,15
15,7,31,15
16,12,0,4
16,13,4,4
16,14,8,4
16,15,12,4
17,12,1,4
17,13,5,4
17,14,9,4
17,15,13,4
18,12,2,4
18,13,6,4
18,14,10,4
18,15,14,4
19,12,3,4
19,13,7,4
19,14,11,4
19,15,15,4
20,12,0,5
20,13,4,5
20,14,8,5
20,15,12,5
21,12,1,5
21,13,5,5
21,14,9,5
21,15,13,5
22,12,2,5
22,13,6,5
22,14,10,5
22,15,14,5
23,12,3,5
23,13,7,5
23,14,11,5
23,15,15,5
24,12,0,6
24,13,4,6
24,14,8,6
24,15,12,6
25,12,1,6
25,13,5,6
25,14,9,6
25,15,13,6
26,12,2,6
26,13,6,6
26,14,10,6
26,15,14,6
27,12,3,6
27,13,7,6
27,14,11,6
27,15,15,6
28,12,0,7
28,13,4,7
28,14,8,7
28,15,12,7
29,12,1,7
29,13,5,7
29,14,9,7
29,15,13,7
30,12,2,7
30,13,6,7
30,14,10,7
30,15,14,7
31,12,3,7
31,13,7,7
31,14,11,7
31,15,15,7
16,8,32,12
16,9,33,12
16,10,34,12
16,11,35,12
17,8,32,13
17,9,33,13
17,10,34,13
17,11,35,13
18,8,32,14
18,9,33,14
18,10,34,14
18,11,35,14
19,8,32,15
19,9,33,15
19,10,34,15
19,11,35,15
20,8,36,12
20,9,37,12
20,10,38,12
20,11,39,12
21,8,36,13
21,9,37,13
21,10,38,13
21,11,39,13
22,8,36,14
22,9,37,14
22,10,38,14
22,11,39,14
23,8,36,15
23,9,37,15
23,10,38,15
23,11,39,15
24,8,40,12
24,9,41,12
24,10,42,12
24,11,43,12
25,8,40,13
25,9,41,13
25,10,42,13
25,11,43,13
26,8,40,14
26,9,41,14
26,10,42,14
26,11,43,14
27,8,40,15
27,9,41,15
27,10,42,15
27,11,43,15
28,8,44,12
28,9,45,12
28,10,46,12
28,11,47,12
29,8,44,13
29,9,45,13
29,10,46,13
29,11,47,13
30,8,44,14
30,9,45,14
30,10,46,14
30,11,47,14
31,8,44,15
31,9,45,15
31,10,46,15
31,11,47,15
32,12,16,8
32,13,17,8
32,14,18,8
32,15,19,8
33,12,16,9
33,13,17,9
33,14,18,9
33,15,19,9
34,12,16,10
34,13,17,10
34,14,18,10
34,15,19,10
35,12,16,11
35,13,17,11
35,14,18,11
35,15,19,11
36,12,20,8
36,13,21,8
36,14,22,8
36,15,23,8
37,12,20,9
37,13,21,9
37,14,22,9
37,15,23,9
38,12,20,10
38,13,21,10
38,14,22,10
38,15,23,10
39,12,20,11
39,13,21,11
39,14,22,11
39,15,23,11
40,12,24,8
40,13,25,8
40,14,26,8
40,15,27,8
41,12,24,9
41,13,25,9
41,14,26,9
41,15,27,9
42,12,24,10
42,13,25,10
42,14,26,10
42,15,27,10
43,12,24,11
43,13,25,11
43,14,26,11
43,15,27,11
44,12,28,8
44,13,29,8
44,14,30,8
44,15,31,8
45,12,28,9
45,13,29,9
45,14,30,9
45,15,31,9
46,12,28,10
46,13,29,10
46,14,30,10
46,15,31,10
47,12,28,11
47,13,29,11
47,14,30,11
47,15,31,11
32,8,-1,0
32,9,-1,1
32,10,-1,2
32,11,-1,3
33,8,-1,4
33,9,-1,5
33,10,-1,6
33,11,-1,7
34,8,-1,8
34,9,-1,9
34,10,-1,10
34,11,-1,11
35,8,-1,12
35,9,-1,13
35,10,-1,14
35,11,-1,15
36,8,-1,16
36,9,-1,17
36,10,-1,18
36,11,-1,19
37,8,-1,20
37,9,-1,21
37,10,-1,22
37,11,-1,23
38,8,-1,24
38,9,-1,25
38,10,-1,26
38,11,-1,27
39,8,-1,28
39,9,-1,29
39,10,-1,30
39,11,-1,31
40,8,-1,32
40,9,-1,33
40,10,-1,34
40,11,-1,35
41,8,-1,36
41,9,-1,37
41,10,-1,38
41,11,-1,39
42,8,-1,40
42,9,-1,41
42,10,-1,42
42,11,-1,43
43,8,-1,44
43,9,-1,45
43,10,-1,46
43,11,-1,47
44,8,-1,48
44,9,-1,49
44,10,-1,50
44,11,-1,51
45,8,-1,52
45,9,-1,53
45,10,-1,54
45,11,-1,55
46,8,-1,56
46,9,-1,57
46,10,-1,58
46,11,-1,59
47,8,-1,60
47,9,-1,61
47,10,-1,62
47,11,-1,63
